case,section ,level,region,number,width
i29,471,Posterior head,ProSub1 (clumpy),1,16.417498
i29,471,Posterior head,ProSub1 (clumpy),2,15.344921
i29,471,Posterior head,ProSub1 (clumpy),3,17.420977
i29,471,Posterior head,ProSub1 (clumpy),4,14.136409
i29,471,Posterior head,ProSub1 (clumpy),5,15.282001
i29,471,Posterior head,ProSub1 (clumpy),6,13.811848
i29,471,Posterior head,ProSub1 (clumpy),7,14.625168
i29,471,Posterior head,ProSub1 (clumpy),8,15.817162
i29,471,Posterior head,ProSub1 (clumpy),9,14.065293
i29,471,Posterior head,ProSub1 (clumpy),10,15.40708
i29,471,Posterior head,Prosub2 (smaller),1,13.473113
i29,471,Posterior head,Prosub2 (smaller),2,16.388599
i29,471,Posterior head,Prosub2 (smaller),3,14.887388
i29,471,Posterior head,Prosub2 (smaller),4,13.942848
i29,471,Posterior head,Prosub2 (smaller),5,15.371164
i29,471,Posterior head,Prosub2 (smaller),6,16.204546
i29,471,Posterior head,Prosub2 (smaller),7,14.875743
i29,471,Posterior head,Prosub2 (smaller),8,14.814664
i29,471,Posterior head,Prosub2 (smaller),9,17.192312
i29,471,Posterior head,Prosub2 (smaller),10,13.62177
i29,471,Posterior head,Subiculum,1,19.061522
i29,471,Posterior head,Subiculum,2,17.191938
i29,471,Posterior head,Subiculum,3,16.16239
i29,471,Posterior head,Subiculum,4,17.239359
i29,471,Posterior head,Subiculum,5,17.752052
i29,471,Posterior head,Subiculum,6,18.221004
i29,471,Posterior head,Subiculum,7,17.653172
i29,471,Posterior head,Subiculum,8,19.98912
i29,471,Posterior head,Subiculum,9,20.578661
i29,471,Posterior head,Subiculum,10,19.535164
i29,450,Medial head,CA1,1,14.683209
i29,450,Medial head,CA1,2,15.915071
i29,450,Medial head,CA1,3,14.595346
i29,450,Medial head,CA1,4,14.099686
i29,450,Medial head,CA1,5,13.547542
i29,450,Anterior head,CA1,6,15.107977
i29,450,Medial head,CA1,7,15.98261
i29,450,Medial head,CA1,8,16.508379
i29,450,Medial head,CA1,9,14.932245
i29,450,Medial head,CA1,10,17.12669
i29,450,Medial head,ProSub1 (clumpy),1,13.564186
i29,450,Medial head,ProSub1 (clumpy),2,14.054959
i29,450,Medial head,ProSub1 (clumpy),3,14.18533
i29,450,Medial head,ProSub1 (clumpy),4,12.89424
i29,450,Medial head,ProSub1 (clumpy),5,13.174474
i29,450,Anterior head,ProSub1 (clumpy),6,13.315376
i29,450,Medial head,ProSub1 (clumpy),7,16.720938
i29,450,Medial head,ProSub1 (clumpy),8,12.546029
i29,450,Medial head,ProSub1 (clumpy),9,12.139517
i29,450,Medial head,ProSub1 (clumpy),10,16.440947
i29,450,Medial head,Prosub2 (smaller),1,15.933086
i29,450,Medial head,Prosub2 (smaller),2,13.756343
i29,450,Medial head,Prosub2 (smaller),3,12.38177
i29,450,Medial head,Prosub2 (smaller),4,14.065347
i29,450,Medial head,Prosub2 (smaller),5,11.263542
i29,450,Anterior head,Prosub2 (smaller),6,13.621861
i29,450,Medial head,Prosub2 (smaller),7,14.719288
i29,450,Medial head,Prosub2 (smaller),8,14.253167
i29,450,Medial head,Prosub2 (smaller),9,12.497792
i29,450,Medial head,Prosub2 (smaller),10,16.258097
i29,450,Medial head,Subiculum,1,15.125274
i29,450,Medial head,Subiculum,2,16.843662
i29,450,Medial head,Subiculum,3,15.452659
i29,450,Medial head,Subiculum,4,12.871738
i29,450,Medial head,Subiculum,5,16.183231
i29,450,Anterior head,Subiculum,6,14.871161
i29,450,Medial head,Subiculum,7,16.528715
i29,450,Medial head,Subiculum,8,17.538128
i29,450,Medial head,Subiculum,9,17.923767
i29,450,Medial head,Subiculum,10,18.350637
i49,421,body,CA1,1,14.250362
i49,421,body,CA1,2,16.578287
i49,421,body,CA1,3,12.700748
i49,421,body,CA1,4,14.315878
i49,421,body,CA1,5,15.186206
i49,421,body,CA1,6,14.900714
i49,421,body,CA1,7,14.819369
i49,421,body,CA1,8,15.178278
i49,421,body,CA1,9,15.057984
i49,421,body,CA1,10,14.599564
i49,421,body,ProSub1 (clumpy),1,14.122036
i49,421,body,ProSub1 (clumpy),2,11.56755
i49,421,body,ProSub1 (clumpy),3,13.005939
i49,421,body,ProSub1 (clumpy),4,13.688525
i49,421,body,ProSub1 (clumpy),5,13.354446
i49,421,body,ProSub1 (clumpy),6,13.798005
i49,421,body,ProSub1 (clumpy),7,14.131942
i49,421,body,ProSub1 (clumpy),8,13.367404
i49,421,body,ProSub1 (clumpy),9,16.137232
i49,421,body,ProSub1 (clumpy),10,12.192008
i49,421,body,Prosub2 (smaller),1,14.520085
i49,421,body,Prosub2 (smaller),2,13.719042
i49,421,body,Prosub2 (smaller),3,14.806421
i49,421,body,Prosub2 (smaller),4,11.996428
i49,421,body,Prosub2 (smaller),5,14.312878
i49,421,body,Prosub2 (smaller),6,14.843734
i49,421,body,Prosub2 (smaller),7,15.048962
i49,421,body,Prosub2 (smaller),8,12.848321
i49,421,body,Prosub2 (smaller),9,15.196075
i49,421,body,Prosub2 (smaller),10,12.81785
i49,421,body,Subiculum,1,14.689299
i49,421,body,Subiculum,2,15.704413
i49,421,body,Subiculum,3,15.745297
i49,421,body,Subiculum,4,14.08701
i49,421,body,Subiculum,5,15.519078
i49,421,body,Subiculum,6,17.252279
i49,421,body,Subiculum,7,17.482965
i49,421,body,Subiculum,8,17.29064
i49,421,body,Subiculum,9,15.403714
i49,421,body,Subiculum,10,15.999236
i49,330,X-region,CA1,1,18.223291
i49,330,X-region,CA1,2,16.455093
i49,330,X-region,CA1,3,18.402321
i49,330,X-region,CA1,4,17.537609
i49,330,X-region,CA1,5,15.98626
i49,330,X-region,CA1,6,14.386905
i49,330,X-region,CA1,7,18.223291
i49,330,X-region,CA1,8,14.531338
i49,330,X-region,CA1,9,17.153091
i49,330,X-region,CA1,10,15.138184
i49,330,X-region,ProSub1 (clumpy),1,
i49,330,X-region,ProSub1 (clumpy),2,
i49,330,X-region,ProSub1 (clumpy),3,
i49,330,X-region,ProSub1 (clumpy),4,
i49,330,X-region,ProSub1 (clumpy),5,
i49,330,X-region,ProSub1 (clumpy),6,
i49,330,X-region,ProSub1 (clumpy),7,
i49,330,X-region,ProSub1 (clumpy),8,
i49,330,X-region,ProSub1 (clumpy),9,
i49,330,X-region,ProSub1 (clumpy),10,
i49,330,X-region,Prosub2 (smaller),1,11.099118
i49,330,X-region,Prosub2 (smaller),2,11.792393
i49,330,X-region,Prosub2 (smaller),3,12.88411
i49,330,X-region,Prosub2 (smaller),4,16.25043
i49,330,X-region,Prosub2 (smaller),5,14.002367
i49,330,X-region,Prosub2 (smaller),6,15.663387
i49,330,X-region,Prosub2 (smaller),7,12.745396
i49,330,X-region,Prosub2 (smaller),8,13.429571
i49,330,X-region,Prosub2 (smaller),9,14.318698
i49,330,X-region,Prosub2 (smaller),10,12.81543
i49,330,X-region,Subiculum,1,17.655499
i49,330,X-region,Subiculum,2,16.032942
i49,330,X-region,Subiculum,3,15.177651
i49,330,X-region,Subiculum,4,15.638319
i49,330,X-region,Subiculum,5,15.454682
i49,330,X-region,Subiculum,6,15.334685
i49,330,X-region,Subiculum,7,14.469795
i49,330,X-region,Subiculum,8,14.705958
i49,330,X-region,Subiculum,9,17.580627
i49,330,X-region,Subiculum,10,16.381941
i49,301,Medial head,CA1,1,15.683295
i49,301,Medial head,CA1,2,16.741936
i49,301,Medial head,CA1,3,16.741968
i49,301,Medial head,CA1,4,16.742439
i49,301,Medial head,CA1,5,17.882872
i49,301,Medial head,CA1,6,12.55657
